Hour,droughts_tweets,droughts_spike,heatwaves_tweets,heatwaves_spike,floods_tweets,floods_spike
2009-08-29 08,1.0,0.0,,,,
2009-08-29 10,1.0,0.0,,,,
2009-08-29 11,1.0,0.0,1.0,0.0,,
2009-08-29 14,2.0,0.0,,,,
2009-08-29 15,1.0,0.0,2.0,0.0,,
2009-08-29 16,1.0,0.0,,,,
2009-08-29 23,2.0,0.0,,,,
2009-08-30 03,1.0,0.0,,,,
2009-08-30 06,3.0,1.0,,,,
2009-08-30 09,2.0,0.0,,,,
2009-08-30 12,3.0,1.0,,,1.0,0.0
2009-08-30 13,6.0,1.0,,,,
2009-08-30 14,2.0,0.0,,,,
2009-08-30 17,2.0,0.0,,,,
2009-08-31 04,1.0,0.0,,,2.0,0.0
2009-08-31 05,1.0,0.0,,,,
2009-08-31 09,1.0,0.0,,,,
2009-08-31 10,1.0,0.0,,,,
2009-08-31 12,3.0,0.0,,,,
2009-08-31 13,1.0,0.0,1.0,0.0,1.0,0.0
2009-08-31 14,1.0,0.0,,,,
2009-08-31 16,1.0,0.0,,,,
2009-08-31 18,1.0,0.0,,,,
2009-08-31 21,1.0,0.0,1.0,0.0,,
2009-08-31 22,3.0,0.0,,,,
2009-08-31 23,1.0,0.0,,,,
2009-09-01 01,1.0,0.0,2.0,0.0,,
2009-09-01 02,1.0,0.0,,,,
2009-09-01 06,1.0,0.0,,,,
2009-09-01 07,1.0,0.0,,,1.0,0.0
2009-09-01 09,1.0,0.0,,,1.0,0.0
2009-09-01 12,1.0,0.0,,,,
2009-09-01 13,1.0,0.0,,,,
2009-09-01 21,1.0,0.0,,,,
2009-09-02 00,2.0,0.0,,,,
2009-09-02 06,1.0,0.0,,,1.0,0.0
2009-09-02 18,1.0,0.0,1.0,0.0,1.0,0.0
2009-09-02 21,1.0,0.0,,,,
2009-09-03 11,2.0,0.0,,,,
2009-09-03 12,6.0,1.0,,,,
2009-09-03 13,1.0,0.0,3.0,0.0,,
2009-09-04 00,1.0,0.0,,,,
2009-09-04 04,1.0,0.0,,,,
2009-09-04 08,2.0,0.0,,,,
2009-09-04 09,2.0,0.0,,,,
2009-09-04 11,3.0,0.0,,,1.0,0.0
2009-09-04 13,2.0,0.0,,,,
2009-09-04 14,1.0,0.0,,,,
2009-09-04 15,1.0,0.0,,,,
2009-09-04 19,1.0,0.0,1.0,0.0,1.0,0.0
2009-09-05 13,1.0,0.0,,,1.0,0.0
2009-09-05 15,1.0,0.0,,,,
2009-09-05 16,1.0,0.0,,,,
2009-09-05 18,1.0,0.0,,,,
2009-09-06 03,1.0,0.0,,,,
2009-09-06 12,2.0,0.0,,,,
2009-09-06 13,2.0,0.0,,,,
2009-09-06 22,1.0,0.0,,,,
2009-09-07 01,1.0,0.0,,,,
2009-09-07 06,1.0,0.0,,,,
2009-09-07 14,1.0,0.0,,,,
2009-09-08 00,1.0,0.0,,,,
2009-09-08 08,1.0,0.0,,,,
2009-09-08 12,2.0,0.0,,,,
2009-09-09 01,1.0,0.0,,,1.0,0.0
